source_id,university_name,list_url,prior_error_bucket,probe_cluster,probe_root_cause,probe_confidence,probe_evidence,crawl_final_status,crawl_reason_code,crawled_count,matched_count,enabled,outcome,outcome_confidence,outcome_detail
ou_3003_univ_001,인제대학교,https://www.inje.ac.kr/kor/Template/Bsub_page.asp?Ltype=5&Ltype2=0&Ltype3=0&Tname=S_News&Ldir=board/S_News&Lpage=Tboard_L&div=10&d1n=5&d2n=1&d3n=6&d4n=0,network_error,tls_network_timeout,network_dns_or_tls_failure,high,fetch_error=fetch failed,network_error,network_error,0,0,true,temporarily_unavailable,high,fetch_error=fetch failed; fetch_error=fetch failed
ou_3064_univ_001,전북대학교,https://www.jbnu.ac.kr/web/news/notice/sub01.do,empty_observed,selector_mismatch,list_selector_mismatch,high,http=200; final_url=https://www.jbnu.ac.kr/web/news/notice/sub01.do; size=246681; anchors=738; candidates=27; selector_matches=16; patterns=view.do|javascript:|uid=; cms=portal_or_login; onclicks=5; iframe=false; js=false; login=true; empty=false,success,success,7,7,true,recovered_with_items,confirmed,crawled=7; matched=7
ou_8_univ_001,중앙대학교,https://www.cau.ac.kr/cms/FR_CON/index.do?MENU_ID=100&CONTENTS_NO=5&P_TAB_NO=5,empty_observed,selector_mismatch,list_selector_mismatch,high,http=200; final_url=https://www.cau.ac.kr/cms/FR_CON/index.do?MENU_ID=100&CONTENTS_NO=5&P_TAB_NO=5; size=1040689; anchors=554; candidates=3; selector_matches=0; patterns=javascript:|view.do|hash_only; cms=portal_or_login; onclicks=1; iframe=false; js=false; login=true; empty=true,success,success,19,19,true,recovered_with_items,confirmed,crawled=19; matched=19
ou_3187_univ_001,창신대학교,https://www.cs.ac.kr/board/board_community1?category_id=5,network_error,tls_network_timeout,network_dns_or_tls_failure,high,fetch_error=fetch failed,network_error,network_error,0,0,true,temporarily_unavailable,high,fetch_error=fetch failed; fetch_error=fetch failed
ou_3198_univ_001,청주교육대학교,https://www.cje.ac.kr/web/board/brdList.do?menu_cd=000219,empty_observed,http_403_waf,login_required,confirmed,http=200; final_url=https://www.cje.ac.kr/web/board/brdList.do?menu_cd=000219; size=400943; anchors=506; candidates=0; selector_matches=0; patterns=javascript:|hash_only; cms=portal_or_login; onclicks=3; iframe=false; js=false; login=true; empty=true,empty_observed,empty_observed,0,0,true,verified_external_block,confirmed,http=200; final_url=https://www.cje.ac.kr/web/board/brdList.do?menu_cd=000219; size=400943; anchors=506; candidates=0; selector_matches=0; patterns=javascript:|hash_only; cms=portal_or_login; onclicks=3; iframe=false; js=false; login=true; empty=true
ou_3209_univ_001,초당대학교,https://dream.cdu.ac.kr/mod/board/list.do?MID=DRM_B05010100,empty_observed,selector_mismatch,list_selector_mismatch,high,http=200; final_url=https://dream.cdu.ac.kr/mod/board/list.do?MID=DRM_B05010100; size=34881; anchors=159; candidates=67; selector_matches=10; patterns=hash_only|view.do; cms=portal_or_login; onclicks=0; iframe=false; js=false; login=true; empty=false,success,success,3,3,true,recovered_with_items,confirmed,crawled=3; matched=3
ou_3229_univ_001,충남대학교,https://plus.cnu.ac.kr/_prog/_board/?code=sub07_0713,partial,http_403_waf,login_required,confirmed,http=200; final_url=https://plus.cnu.ac.kr/_prog/_board/?code=sub07_0713; size=96736; anchors=627; candidates=0; selector_matches=0; patterns=hash_only; cms=portal_or_login; onclicks=5; iframe=false; js=false; login=true; empty=false,success,success,10,0,true,recovered_with_items,confirmed,crawled=10; matched=0
ou_3342_univ_001,한국전통문화대학교,http://www.nuch.ac.kr/mec/ots/brd/list.do?mnuBaseId=MNU0000146&topBaseId=MNU0000009&tplSer=2,network_error,tls_network_timeout,network_dns_or_tls_failure,high,fetch_error=fetch failed,network_error,network_error,0,0,true,temporarily_unavailable,high,fetch_error=fetch failed; fetch_error=fetch failed
ou_3436_univ_001,한밭대학교(산업대),https://www.hanbat.ac.kr/bbs/BBSMSTR_000000001261/list.do,empty_observed,selector_mismatch,list_selector_mismatch,high,http=200; final_url=https://www.hanbat.ac.kr/bbs/BBSMSTR_000000001261/list.do; size=445541; anchors=529; candidates=16; selector_matches=13; patterns=view.do|nttId=; cms=portal_or_login; onclicks=5; iframe=false; js=false; login=true; empty=false,timeout,attempt_timeout,0,0,true,temporarily_unavailable,high,fetch_error=attempt_timeout; http=200; final_url=https://www.hanbat.ac.kr/bbs/BBSMSTR_000000001261/list.do; size=445541; anchors=529; candidates=16; selector_matches=13; patterns=view.do|nttId=; cms=portal_or_login; onclicks=5; iframe=false; js=false; login=true; empty=false
ou_3437_univ_001,한서대학교,https://www.hanseo.ac.kr/boardCnts/list.do?boardID=301&m=040104&s=hs,empty_observed,selector_mismatch,list_selector_mismatch,high,http=200; final_url=https://www.hanseo.ac.kr/boardCnts/list.do?boardID=301&m=040104&s=hs; size=61503; anchors=263; candidates=34; selector_matches=32; patterns=hash_only|view.do|javascript:; cms=boardcnts; onclicks=5; iframe=false; js=false; login=true; empty=false,success,success,13,13,true,recovered_with_items,confirmed,crawled=13; matched=13
ou_3509_univ_001,한일장신대학교,https://www.hanil.ac.kr/portal/default/bbs/list.do?menuId=M0004000100040000,empty_observed,onclick_post_event_url,detail_url_resolution_failed,high,http=200; final_url=https://www.hanil.ac.kr/portal/default/bbs/list.do?menuId=M0004000100040000; size=118717; anchors=419; candidates=322; selector_matches=0; patterns=javascript:|view.do|uid=; cms=portal_or_login; onclicks=0; iframe=false; js=false; login=true; empty=false,success,success,1,0,true,recovered_with_items,confirmed,crawled=1; matched=0
ou_3518_univ_001,협성대학교,https://www.uhs.ac.kr/uhs/155/subview.do,empty_observed,selector_mismatch,list_selector_mismatch,high,http=200; final_url=https://www.uhs.ac.kr/uhs/155/subview.do; size=150680; anchors=246; candidates=151; selector_matches=10; patterns=view.do|javascript:; cms=jiniworks_subview; onclicks=5; iframe=false; js=false; login=true; empty=false,partial,partial,2,2,true,recovered_with_items,confirmed,crawled=2; matched=2
ou_1618_univ_001,화성의과학대학교,https://www.hsmu.ac.kr/user/board/HSMU40102000_list_HSMU40102000.do,network_error,tls_network_timeout,network_dns_or_tls_failure,high,fetch_error=fetch failed,network_error,network_error,0,0,true,temporarily_unavailable,high,fetch_error=fetch failed; fetch_error=fetch failed
