source_id,source_name,list_url,base_url,list_item_selector,link_selector,title_selector,date_selector,detail_content_selector,detail_date_selector,notice_url_pattern,keywords,enabled
cau_046,중앙대 무용전공,https://arts.cau.ac.kr/user-datas/ko/notice_list.asp,https://arts.cau.ac.kr,,a[href],,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true
cau_047,중앙대 문예창작전공,https://arts.cau.ac.kr/user-datas/ko/notice_list.asp,https://arts.cau.ac.kr,,a[href],,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true
cau_048,중앙대 사진전공,https://arts.cau.ac.kr/user-datas/ko/notice_list.asp,https://arts.cau.ac.kr,,a[href],,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true
cau_049,중앙대 산업디자인전공,https://arts.cau.ac.kr/user-datas/ko/notice_list.asp,https://arts.cau.ac.kr,,a[href],,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true
cau_050,중앙대 서양화전공,https://arts.cau.ac.kr/user-datas/ko/notice_list.asp,https://arts.cau.ac.kr,,a[href],,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true
cau_051,중앙대 성악전공,https://arts.cau.ac.kr/user-datas/ko/notice_list.asp,https://arts.cau.ac.kr,,a[href],,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true
cau_052,중앙대 시각디자인전공,https://arts.cau.ac.kr/user-datas/ko/notice_list.asp,https://arts.cau.ac.kr,,a[href],,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true
cau_053,중앙대 실내환경디자인전공,https://arts.cau.ac.kr/user-datas/ko/notice_list.asp,https://arts.cau.ac.kr,,a[href],,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true
cau_054,중앙대 실용음악전공,https://arts.cau.ac.kr/user-datas/ko/notice_list.asp,https://arts.cau.ac.kr,,a[href],,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true
cau_055,중앙대 연극전공,https://arts.cau.ac.kr/user-datas/ko/notice_list.asp,https://arts.cau.ac.kr,,a[href],,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true
cau_056,중앙대 연희예술전공,https://arts.cau.ac.kr/user-datas/ko/notice_list.asp,https://arts.cau.ac.kr,,a[href],,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true
cau_057,중앙대 영화전공,https://arts.cau.ac.kr/user-datas/ko/notice_list.asp,https://arts.cau.ac.kr,,a[href],,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true
cau_058,중앙대 음악예술전공,https://arts.cau.ac.kr/user-datas/ko/notice_list.asp,https://arts.cau.ac.kr,,a[href],,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true
cau_059,중앙대 작곡전공,https://arts.cau.ac.kr/user-datas/ko/notice_list.asp,https://arts.cau.ac.kr,,a[href],,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true
cau_060,중앙대 조소전공,https://arts.cau.ac.kr/user-datas/ko/notice_list.asp,https://arts.cau.ac.kr,,a[href],,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true
