source_id,university_slug,university_id,college_id,department_id,org_unit_id,college_name,department_name,source_level,source_name,list_url,base_url,list_item_selector,link_selector,title_selector,date_selector,detail_content_selector,detail_date_selector,notice_url_pattern,keywords,adapter,enabled
yonsei_033,yonsei,3,45,95,306,공과대학,산업공학과,department,연세대 산업공학과,https://ie.yonsei.ac.kr/bbs/board.php?tbl=bbs51,https://ie.yonsei.ac.kr,"tbody tr, .board-list li, .notice-list li",a[href],a[href],"td:last-child, .date, .board-date, .wr_date, time",,".date, .board-date, .wr_date, time",(mode=view|articleNo=|boardNo=|nttNo=|idx=|no=\d+|wr_id=\d+|b_idx=\d+|seq=\d+),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true
yonsei_034,yonsei,3,45,96,303,공과대학,도시공학과,department,연세대 도시공학과,https://chaplain.yonsei.ac.kr/urban/notice/notice.do,https://chaplain.yonsei.ac.kr,"tbody tr, .board-list li, .notice-list li",a[href],a[href],"td:last-child, .date, .board-date, .wr_date, time",,".date, .board-date, .wr_date, time",(mode=view|articleNo=|boardNo=|nttNo=|idx=|no=\d+|wr_id=\d+|b_idx=\d+|seq=\d+),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true
yonsei_035,yonsei,3,45,97,307,공과대학,시스템반도체공학과,department,연세대 시스템반도체공학과,https://system.yonsei.ac.kr/bbs/board.php?bo_table=sub5_2_a,https://system.yonsei.ac.kr,"tbody tr, .board-list li, .notice-list li",a[href],a[href],"td:last-child, .date, .board-date, .wr_date, time",,".date, .board-date, .wr_date, time",(mode=view|articleNo=|boardNo=|nttNo=|idx=|no=\d+|wr_id=\d+|b_idx=\d+|seq=\d+),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true
yonsei_036,yonsei,3,45,98,304,공과대학,디스플레이융합공학과,department,연세대 디스플레이융합공학과,https://dis.yonsei.ac.kr/?module=Board&action=SiteBoard&sMode=SELECT_FORM&iBrdNo=4,https://dis.yonsei.ac.kr,,a[href],,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true
yonsei_037,yonsei,3,46,99,313,생명시스템대학,시스템생물학과,department,연세대 시스템생물학과,https://systemsbiology.yonsei.ac.kr/l_system/notice.do,https://systemsbiology.yonsei.ac.kr,"tbody tr, .board-list li, .notice-list li",a[href],a[href],"td:last-child, .date, .board-date, .wr_date, time",,".date, .board-date, .wr_date, time",(mode=view|articleNo=|boardNo=|nttNo=|idx=|no=\d+|wr_id=\d+|b_idx=\d+|seq=\d+),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true
yonsei_038,yonsei,3,46,100,312,생명시스템대학,생화학과,department,연세대 생화학과,https://biochem.yonsei.ac.kr/biochem/board/board01.do,https://biochem.yonsei.ac.kr,"tbody tr, .board-list li, .notice-list li",a[href],a[href],"td:last-child, .date, .board-date, .wr_date, time",,".date, .board-date, .wr_date, time",(mode=view|articleNo=|boardNo=|nttNo=|idx=|no=\d+|wr_id=\d+|b_idx=\d+|seq=\d+),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true
yonsei_039,yonsei,3,46,101,311,생명시스템대학,생명공학과,department,연세대 생명공학과,https://biotech.yonsei.ac.kr/biotech/community/announce.do,https://biotech.yonsei.ac.kr,"tbody tr, .board-list li, .notice-list li",a[href],a[href],"td:last-child, .date, .board-date, .wr_date, time",,".date, .board-date, .wr_date, time",(mode=view|articleNo=|boardNo=|nttNo=|idx=|no=\d+|wr_id=\d+|b_idx=\d+|seq=\d+),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true
yonsei_040,yonsei,3,47,,1129,인공지능융합대학,,division,연세대 첨단컴퓨팅학부,https://cais.yonsei.ac.kr/csai/board/facultyBoard.do,https://cais.yonsei.ac.kr,"tbody tr, .board-list li, .notice-list li",a[href],a[href],"td:last-child, .date, .board-date, .wr_date, time",,".date, .board-date, .wr_date, time",(mode=view|articleNo=|boardNo=|nttNo=|idx=|no=\d+|wr_id=\d+|b_idx=\d+|seq=\d+),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true
yonsei_042,yonsei,3,47,104,316,인공지능융합대학,인공지능시스템학과,department,연세대 인공지능시스템학과,https://computing.yonsei.ac.kr:52141/bbs/board.php?bo_table=sub8_2_a,https://computing.yonsei.ac.kr:52141,"tbody tr, .board-list li, .notice-list li",a[href],a[href],"td:last-child, .date, .board-date, .wr_date, time",,".date, .board-date, .wr_date, time",(mode=view|articleNo=|boardNo=|nttNo=|idx=|no=\d+|wr_id=\d+|b_idx=\d+|seq=\d+),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true
yonsei_043,yonsei,3,47,,40,인공지능융합대학,,college,연세대 인공지능융합대학,https://sit.yonsei.ac.kr/sit/community/notice.do,https://sit.yonsei.ac.kr,"tbody tr, .board-list li, .notice-list li",a[href],a[href],"td:last-child, .date, .board-date, .wr_date, time",,".date, .board-date, .wr_date, time",(mode=view|articleNo=|boardNo=|nttNo=|idx=|no=\d+|wr_id=\d+|b_idx=\d+|seq=\d+),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true
