source_id,source_name,bucket,recommendation,list_url,has_list_item_selector,item_match_count,link_rate,date_rate,anchor_count,keyword_hits,menu_like_hits,false_positive_risk,js_framework,error
ou_1_univ_001,고려대학교 장학공지,fetch_error,요청 실패 → URL/타임아웃/차단 여부 확인,https://scholarship.korea.ac.kr/scholarship/application/notice.do,true,,,,,,,,,terminated
ou_1986_univ_001,광신대학교 장학공지,link_extract_fail,목록 행은 잡히나 상세 URL 추출 실패 → onclick/data-href 어댑터 또는 link_selector 필요,https://www.kwangshin.ac.kr/front/boardList.do?brd_mgrno=180&menu_no=442,true,12,0,0.83,234,,,,,
ou_2015_univ_001,광주여자대학교 장학공지,ok,설정 정상,https://www.kwu.ac.kr/mod/board/list.do?MID=KWU_B06010401,true,13,1,1,255,,,,,
ou_2062_univ_001,국립목포해양대학교 장학공지,fetch_error,요청 실패 → URL/타임아웃/차단 여부 확인,https://www.mmu.ac.kr/main/board/303,false,,,,,,,,,fetch failed
ou_2074_univ_001,국립순천대학교 장학공지,ok,설정 정상,https://www.scnu.ac.kr/SCNU/na/ntt/selectNttList.do?bbsId=4487&mi=8690,true,10,1,1,450,,,,,
ou_2081_univ_001,국립창원대학교 장학공지,link_extract_fail,목록 행은 잡히나 상세 URL 추출 실패 → onclick/data-href 어댑터 또는 link_selector 필요,https://www.changwon.ac.kr/haksa/na/ntt/selectNttList.do?bbsId=5849&mi=15814,true,23,0,1,156,,,,,
ou_2097_univ_001,국립한국해양대학교 장학공지,fetch_error,요청 실패 → URL/타임아웃/차단 여부 확인,https://www.kmou.ac.kr/kmou/na/ntt/selectNttList.do?mi=5691&bbsId=1041,true,,,,,,,,,HTTP 404
ou_2106_univ_001,국립한밭대학교 장학공지,link_extract_fail,목록 행은 잡히나 상세 URL 추출 실패 → onclick/data-href 어댑터 또는 link_selector 필요,https://www.hanbat.ac.kr/bbs/BBSMSTR_000000001261/list.do,true,13,0,1,528,,,,,
ou_2112_univ_001,국민대학교 장학공지,link_extract_fail,목록 행은 잡히나 상세 URL 추출 실패 → onclick/data-href 어댑터 또는 link_selector 필요,https://www.kookmin.ac.kr/user/kmuNews/notice/7/index.do,true,10,0,0,461,,,,,
ou_2149_univ_001,김천대학교 장학공지,fetch_error,요청 실패 → URL/타임아웃/차단 여부 확인,https://www.kcu.ac.kr/kcua/boardList?menuCode=BC0703,false,,,,,,,,,fetch failed
ou_2163_univ_001,남부대학교 장학공지,link_extract_fail,목록 행은 잡히나 상세 URL 추출 실패 → onclick/data-href 어댑터 또는 link_selector 필요,https://www.nambu.ac.kr/board/NAMBU_BOARD_0016/boardList.do?menuCd=KR006006004,true,10,0,1,483,,,,,
